__run_id,__done,algorithm,arena,map_resolution,linear_update,angular_update,repetition,avg_cpu,avg_mem,energy,rosbag_msg_count,rosbag_msg_size
run_128,DONE,hector,circular,0.1,1.0,0.0174,1,27.504103190588843,786728293.252018,935629.7728614017,46519,3750952
run_129,DONE,cartographer,point_to_point,0.05,0.2,0.9,2,41.08195448325852,689483765.7906281,829808.4335985061,69300,5087192
run_130,DONE,hector,circular,0.05,0.2,0.0174,4,27.78805772352455,780763501.4835511,933674.8615734418,46567,3755208
run_131,DONE,karto,circular,0.1,1.0,0.9,2,29.253172858590894,651805724.2328228,931234.629206659,46139,3719216
run_132,DONE,hector,circular,0.1,1.0,0.0174,2,27.49784545843361,784381687.2430031,944942.0464047258,46667,3762560
run_133,DONE,cartographer,circular,0.05,0.2,0.9,5,44.26798730536457,690644395.3316017,962300.879359023,80114,5876984
run_134,DONE,cartographer,circular,0.1,1.0,0.9,2,43.46003495658417,689606841.335354,960456.7009614449,80329,5889960
run_135,DONE,karto,point_to_point,0.05,0.2,0.0174,3,28.90213965495144,654710855.9877738,810963.9811890606,40478,3257232
run_136,DONE,gmapping,circular,0.05,0.2,0.9,2,34.517588109932724,660138059.7858076,945082.6198915284,47308,3813056
run_137,DONE,hector,point_to_point,0.05,0.2,0.9,3,30.706733634603683,780170544.6271356,809790.5438951638,40443,3261768
run_138,DONE,cartographer,circular,0.1,1.0,0.0174,3,43.288226647265354,692083318.5637467,958745.0338905117,79804,5851480
run_139,DONE,gmapping,circular,0.1,1.0,0.9,3,28.938080472380445,654526910.3648078,936881.1240162646,46522,3749176
run_140,DONE,karto,circular,0.1,0.2,0.0174,3,31.28617160307821,655881373.8815331,933016.843530496,46516,3744584
run_141,DONE,hector,point_to_point,0.05,0.2,0.0174,1,28.741761078918017,782437696.5932028,807911.8596528255,40483,3265192
run_142,DONE,karto,circular,0.05,1.0,0.0174,2,28.432763684576546,655974878.245505,932472.2738610478,46425,3734024
run_143,DONE,gmapping,point_to_point,0.05,0.2,0.9,2,31.00780217760622,659654674.7985722,817996.9688216832,40813,3291312
run_144,DONE,karto,point_to_point,0.05,1.0,0.0174,2,28.031751825675563,654407023.946653,810025.7081751187,40496,3258504
run_145,DONE,hector,point_to_point,0.05,0.2,0.0174,2,30.78529933686469,780987528.9681529,809405.8263615362,40450,3263456
run_146,DONE,gmapping,circular,0.1,1.0,0.0174,2,41.15752351822929,658211065.5706487,971458.6177349462,49590,3996536
run_147,DONE,cartographer,circular,0.05,1.0,0.0174,2,43.91495701864168,695685557.0839827,956793.5038633412,79710,5850776
run_148,DONE,cartographer,point_to_point,0.1,0.2,0.0174,2,43.23179469621476,691511365.5103569,826054.7314159181,69090,5070104
run_149,DONE,hector,point_to_point,0.1,1.0,0.9,2,30.53087414461534,781440624.5416877,804661.6371959228,40496,3266272
run_150,DONE,hector,circular,0.1,0.2,0.9,2,28.12184729372841,787362029.357016,933742.7577769349,46443,3745904
run_151,DONE,cartographer,point_to_point,0.05,0.2,0.9,3,42.85832326787649,690335217.5612677,824460.9193050361,69301,5089976
run_152,DONE,cartographer,point_to_point,0.05,0.2,0.0174,2,41.193460107147246,691138425.0344484,827591.1363255264,69165,5082288
run_153,DONE,cartographer,point_to_point,0.1,0.2,0.9,2,41.80856250895302,689246329.6734898,827995.9782510903,69301,5089912
run_154,DONE,cartographer,point_to_point,0.1,0.2,0.9,3,42.81114758208107,689347638.5143714,824134.9388292835,69489,5103504
run_155,DONE,gmapping,circular,0.05,0.2,0.9,3,32.16545255968376,671130493.3439294,943682.5558126968,47322,3814456
run_156,DONE,cartographer,circular,0.05,1.0,0.9,4,43.54796568924215,689882533.1255411,957452.9609143784,80167,5885680
run_157,DONE,karto,circular,0.05,1.0,0.0174,3,28.514778627734817,658556919.3394169,933544.610205576,46616,3748792
run_158,DONE,cartographer,point_to_point,0.05,0.2,0.0174,3,44.29612910807073,690848696.3916084,825742.5401614915,69044,5072024
run_159,DONE,cartographer,point_to_point,0.05,1.0,0.0174,4,43.671781752399816,691715898.762475,827639.2547593816,68904,5061520
run_160,DONE,hector,circular,0.05,1.0,0.9,4,28.68062572074336,785765802.7620112,928382.2411618461,46790,3772744
run_161,DONE,karto,point_to_point,0.1,0.2,0.0174,3,30.257391978792388,654906655.5066969,809610.1860334147,40358,3247760
run_162,DONE,karto,circular,0.1,0.2,0.0174,4,32.210298892584476,656311920.0523674,931591.6216265322,46641,3751848
run_163,DONE,cartographer,point_to_point,0.1,1.0,0.9,2,43.40743174826415,689061127.0224439,826270.3089838639,69095,5072128
run_164,DONE,hector,circular,0.05,0.2,0.9,5,28.465389806309908,785742345.1756272,929704.7458806955,46598,3760416
run_165,DONE,karto,point_to_point,0.05,0.2,0.9,2,26.804637530202474,652290642.5129387,806178.0955108803,40262,3244776
run_166,DONE,gmapping,point_to_point,0.05,0.2,0.9,3,31.239109344423838,675380769.9411314,815873.1287892433,40903,3297976
run_167,DONE,hector,point_to_point,0.05,1.0,0.0174,3,27.66349699697124,782576871.394683,807649.7308140189,40471,3263752
run_168,DONE,karto,circular,0.1,1.0,0.9,3,26.84415099348265,652640024.1509434,930290.2814788412,46117,3719984
run_169,DONE,karto,point_to_point,0.05,1.0,0.9,2,32.21322782379556,652482869.4618474,805584.3995517155,40110,3233512
run_170,DONE,karto,point_to_point,0.05,1.0,0.9,3,30.68775454207764,651159334.171486,806084.5210617252,39857,3215832
run_171,DONE,hector,point_to_point,0.1,1.0,0.9,3,27.223345378779825,783595014.5674706,805769.1936827957,40286,3249752
run_172,DONE,gmapping,circular,0.1,0.2,0.0174,2,43.23717833979391,661476894.5904928,973670.0899382427,49416,3982992
run_173,DONE,karto,circular,0.05,0.2,0.9,4,30.834084407319857,652553402.1614527,931080.3801747056,46277,3728136
run_174,DONE,gmapping,point_to_point,0.1,1.0,0.0174,1,42.599749319893974,659634758.0631579,839124.9823357527,42754,3445432
run_175,DONE,hector,circular,0.1,1.0,0.9,5,28.00795382580421,785436196.0595423,929700.9705779658,46715,3766976
run_176,DONE,gmapping,point_to_point,0.1,1.0,0.9,3,31.941142401865637,658726860.4650227,808668.5892528915,40275,3246912
run_177,DONE,hector,point_to_point,0.1,0.2,0.9,2,30.071194530975433,787491302.1935484,807091.0109110209,40437,3262104
run_178,DONE,hector,circular,0.1,0.2,0.0174,3,28.118566079592384,791062901.8880284,929139.174706934,46525,3754624
run_179,DONE,gmapping,circular,0.1,1.0,0.0174,3,41.08355867004894,663358309.9310946,972691.2652942133,49558,3994632
run_180,DONE,gmapping,point_to_point,0.05,1.0,0.9,3,31.445946582254447,684073370.4249748,808054.3402309136,40434,3257560
run_181,DONE,cartographer,point_to_point,0.1,0.2,0.9,4,42.82042938873755,690735656.2294836,825658.3102762362,69112,5072168
run_182,DONE,cartographer,circular,0.1,1.0,0.0174,4,41.27088696388627,692673289.3787123,950675.7737218615,79877,5857472
run_183,DONE,hector,point_to_point,0.1,0.2,0.0174,2,27.374967833221742,783115983.36066,804158.8017877688,40324,3255896
run_184,DONE,gmapping,circular,0.1,0.2,0.9,2,30.767939673647366,662719629.8685613,943574.8372196289,47130,3801544
run_185,DONE,gmapping,circular,0.1,1.0,0.9,4,31.744021107409658,661375717.8982602,932665.8949174989,46508,3749240
run_186,DONE,cartographer,point_to_point,0.05,1.0,0.0174,5,44.66265633412141,692028384.8147779,827934.8709126068,69221,5084912
run_187,DONE,gmapping,point_to_point,0.05,0.2,0.9,4,31.647184743698993,685977166.9197452,815348.8547668167,40943,3300936
run_188,DONE,gmapping,circular,0.1,0.2,0.0174,3,44.23308689656465,663838948.8417392,973272.365133214,49507,3990920
run_189,DONE,hector,point_to_point,0.05,1.0,0.9,4,27.61957814314999,782063784.0761513,805382.8518227168,40470,3264208
run_190,DONE,hector,circular,0.05,0.2,0.0174,5,27.314871282887218,783955818.9294513,930254.631495013,46573,3758648
run_191,DONE,gmapping,point_to_point,0.05,0.2,0.0174,2,42.829134204965015,687045272.5079046,839143.873833073,42727,3445224
run_192,DONE,hector,circular,0.1,0.2,0.9,3,27.830462143634026,788848304.6388515,929776.3575084066,46623,3759752
run_193,DONE,hector,point_to_point,0.1,1.0,0.0174,3,27.584956718427318,779781133.054564,802929.0192707486,40424,3260800
run_194,DONE,cartographer,point_to_point,0.1,0.2,0.0174,3,37.19310460860655,691210243.0812438,823448.1340132236,69281,5088336
run_195,DONE,gmapping,point_to_point,0.1,0.2,0.0174,4,40.09182439198134,663365367.9253091,840229.5192391849,42778,3449904
run_196,DONE,hector,circular,0.05,1.0,0.9,5,27.421781798407334,786285689.7853006,926717.3505252887,46514,3752224
run_197,DONE,gmapping,point_to_point,0.05,1.0,0.9,4,31.600629845684317,691097344.0644999,805366.5068134342,40159,3237120
run_198,DONE,gmapping,circular,0.05,0.2,0.0174,4,42.446900933447594,696208367.4622436,973905.2294996204,49396,3981472
run_199,DONE,karto,circular,0.1,0.2,0.0174,5,29.239251777348276,657449829.617888,931071.1371177523,46639,3751600
run_200,DONE,karto,point_to_point,0.05,1.0,0.0174,3,28.1824089095846,655761024.0657421,805092.2134167084,40339,3249480
run_201,DONE,gmapping,point_to_point,0.05,1.0,0.0174,3,40.714433496779876,695915367.2914459,839713.725215787,42511,3430800
run_202,DONE,cartographer,point_to_point,0.1,0.2,0.0174,4,41.24028505192889,692274941.1868132,825464.6157329173,69358,5090672
run_203,DONE,karto,point_to_point,0.1,0.2,0.9,2,26.7862629565996,654478223.043299,807625.4401748922,40062,3232072
run_204,DONE,cartographer,point_to_point,0.1,1.0,0.9,3,39.83291682462325,690583639.0835418,822624.2186091187,69376,5088872
run_205,DONE,gmapping,point_to_point,0.1,1.0,0.9,4,28.055258487055006,665249211.1452816,804666.4533650059,40487,3264344
run_206,DONE,cartographer,circular,0.1,1.0,0.9,3,43.35096333558826,691531318.6236745,948108.163772993,80189,5884792
run_207,DONE,gmapping,point_to_point,0.1,1.0,0.0174,2,38.893492648731225,646603097.671581,845221.3648202749,43114,3478648
run_208,DONE,cartographer,circular,0.1,0.2,0.0174,3,42.27893053912249,686929328.3949761,955763.7919467877,80530,5915584
run_209,DONE,cartographer,point_to_point,0.05,1.0,0.9,4,42.82311375769063,685770095.944028,833484.6282138623,69497,5106496
run_210,DONE,karto,circular,0.1,1.0,0.9,4,26.608268393050437,648630958.4702474,934808.9396076623,46722,3769744
run_211,DONE,karto,circular,0.05,1.0,0.0174,4,32.18199214773522,652980584.7829491,936563.8362220417,46513,3743392
run_212,DONE,karto,point_to_point,0.1,0.2,0.9,3,29.889831345896862,650210543.4402215,805919.3748414931,40690,3280184
run_213,DONE,cartographer,circular,0.05,1.0,0.0174,3,42.051520034742005,690675032.5940078,960466.3507708537,80154,5884664
run_214,DONE,hector,point_to_point,0.05,0.2,0.9,4,27.03914284552218,780664443.8688356,807331.2820952084,40947,3302784
run_215,DONE,karto,point_to_point,0.05,1.0,0.9,4,27.345524733449206,650600717.6954732,808365.8875674321,40453,3261744
run_216,DONE,hector,point_to_point,0.1,1.0,0.0174,4,27.92901334001974,783325124.3190184,808959.3805481676,40921,3299000
run_217,DONE,cartographer,point_to_point,0.05,1.0,0.9,5,42.07740922124161,689300493.803295,830217.9659121769,69678,5117728
run_218,DONE,karto,point_to_point,0.1,1.0,0.9,2,30.4070742755541,650793010.7084386,806847.8263863764,39623,3195952
run_219,DONE,cartographer,point_to_point,0.05,0.2,0.0174,4,48.89540344079137,689524414.7049713,813560.4432690266,62424,4526864
run_220,DONE,cartographer,point_to_point,0.1,0.2,0.9,5,43.84445309359604,689022334.1810023,824330.2593034393,67574,4963824
run_221,DONE,karto,point_to_point,0.05,1.0,0.0174,4,29.912778555690554,654686809.5508323,807447.8949216458,39722,3197808
run_222,DONE,gmapping,point_to_point,0.05,0.2,0.0174,3,45.402067907460854,659032309.3467844,823024.2342001,37708,3036648
